,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,auto_mark
606,Hyundai Grand i10 1.2 Kappa Magna BSIV,2018,450000,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,113.75,5.0,4000.0,Hyundai
607,Maruti Zen Estilo VXI BSIV W ABS,2011,170000,55113,Petrol,Individual,Manual,First Owner,19.369999999999997,1248.0,81.86,150.0,5.0,3000.0,Maruti
608,Tata Tiago 1.05 Revotorq XM,2017,360000,50000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,140.0,5.0,3000.0,Tata
609,Maruti Alto K10 VXI,2020,390000,6000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,5.0,3500.0,Maruti
610,Maruti Eeco 7 Seater Standard BSIV,2011,145000,50000,Petrol,Individual,Manual,Second Owner,15.37,1196.0,73.0,101.0,7.0,3000.0,Maruti
611,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,2012,540000,90000,Diesel,Individual,Manual,Third Owner,12.05,2179.0,120.0,290.0,8.0,2800.0,Mahindra
612,Toyota Innova 2.5 E Diesel MS 8-seater,2008,290000,126000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,2.0802210744749736,8.0,3400.0,Toyota
613,Tata Indigo eCS VX BSIV,2013,300000,90000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,140.0,5.0,3000.0,Tata
614,Mahindra Scorpio 2.6 CRDe SLE,2011,441000,70000,Diesel,Individual,Manual,Second Owner,10.5,2609.0,120.0,290.0,7.0,2800.0,Mahindra
615,Hyundai Santro Xing XP,2003,50000,80000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248.0,81.86,150.0,5.0,3000.0,Hyundai
616,Hyundai EON Era Plus,2011,180000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000.0,Hyundai
617,Hyundai EON D Lite,2013,200000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5,5.0,4000.0,Hyundai
618,Maruti Alto LX,2005,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000.0,Maruti
619,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,700000,110000,Diesel,Individual,Manual,Second Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,Maruti
620,Volkswagen Polo Diesel Highline 1.2L,2010,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199.0,73.9,180.0,5.0,2000.0,Volkswagen
621,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,600000,20000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,113.75,5.0,4000.0,Hyundai
622,Mahindra Xylo D2,2011,250000,120000,Diesel,Individual,Manual,First Owner,13.0,2489.0,95.0,220.0,8.0,2600.0,Mahindra
623,Mahindra Bolero 2011-2019 DI - AC BS III,2016,600000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,180.0,9.0,1500.0,Mahindra
624,Fiat Linea 1.3 Active,2010,200000,80000,Diesel,Individual,Manual,Second Owner,20.4,1248.0,91.2,209.0,5.0,2000.0,Fiat
625,Maruti Swift Dzire VDi,2012,420000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,5.0,2000.0,Maruti
626,Hyundai i20 1.4 CRDi Era,2012,321000,100000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,2.2841643170705592,5.0,2750.0,Hyundai
627,Mahindra Xylo D4 BSIV,2012,350000,120000,Diesel,Individual,Manual,Fourth & Above Owner,14.0,2498.0,112.0,260.0,8.0,2200.0,Mahindra
628,Honda Amaze i-VTEC Privilege Edition,2017,490000,80000,Petrol,Individual,Manual,First Owner,17.8,1198.0,86.7,109.0,5.0,4500.0,Honda
629,Mahindra Scorpio S2 7 Seater,2015,680000,90000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,200.0,7.0,2200.0,Mahindra
630,Maruti Alto K10 VXI,2016,298000,70000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,5.0,3500.0,Maruti
631,Hyundai Santro GLS I - Euro I,1999,80000,110000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248.0,81.86,150.0,5.0,3000.0,Hyundai
632,Skoda Superb 1.8 TSI,2010,400000,60000,Petrol,Individual,Automatic,Second Owner,19.369999999999997,1248.0,81.86,150.0,5.0,3000.0,Skoda
633,Ford Endeavour Hurricane Limited Edition,2013,1075000,110000,Diesel,Individual,Automatic,Third Owner,12.8,2953.0,156.0,380.0,7.0,2500.0,Ford
634,Hyundai Grand i10 Sportz,2017,500000,20000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,114.0,5.0,4000.0,Hyundai
635,Mahindra XUV500 W8 2WD,2014,650000,90000,Diesel,Individual,Manual,Second Owner,15.1,2179.0,140.0,330.0,7.0,2800.0,Mahindra
636,Chevrolet Aveo U-VA 1.2 LS,2008,80000,70000,Petrol,Individual,Manual,Second Owner,15.26,1150.0,74.9,110.0,5.0,4400.0,Chevrolet
637,Mahindra Bolero SLX 2WD BSIII,2009,290000,120000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,180.0,7.0,1500.0,Mahindra
638,Mahindra Scorpio 2.6 SPORTZ CRDe,2006,220000,120000,Diesel,Individual,Manual,Second Owner,10.5,2179.0,120.0,290.0,8.0,2800.0,Mahindra
639,Datsun RediGO Sport,2017,229999,80000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.0,72.0,5.0,4388.0,Datsun
640,Mahindra Bolero ZLX BSIII,2003,150000,132478,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,1500.0,Mahindra
641,Maruti Swift Dzire VXI,2014,500000,45000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,114.0,5.0,4000.0,Maruti
642,Ford Freestyle Titanium Petrol BSIV,2019,720000,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,120.0,5.0,4250.0,Ford
643,Maruti 800 AC,2012,100000,51000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,4.0,2500.0,Maruti
644,Mahindra XUV500 W6 2WD,2014,810000,100000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,330.0,7.0,2800.0,Mahindra
645,Maruti Alto LXi,2010,165000,30000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,62.0,5.0,3000.0,Maruti
646,Chevrolet Tavera Neo 3 LS 10 Str,2016,409999,60000,Diesel,Individual,Manual,Second Owner,12.2,1994.0,105.3,263.7,10.0,2500.0,Chevrolet
647,Maruti Swift VDI,2013,430000,86000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190.0,5.0,2000.0,Maruti
648,Datsun GO Plus D1,2015,300000,15000,Petrol,Individual,Manual,First Owner,20.62,1198.0,67.0,104.0,7.0,4000.0,Datsun
649,Maruti Swift Dzire VDi,2011,350000,137500,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,190.0,5.0,2000.0,Maruti
650,Renault KWID 1.0 RXT Optional,2018,400000,60000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,91.0,5.0,4250.0,Renault
651,Chevrolet Enjoy 1.3 TCDi LS 7,2016,420000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.74,172.5,7.0,1750.0,Chevrolet
652,Maruti Wagon R VXI BS IV,2015,430000,5000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,5.0,3500.0,Maruti
653,Hyundai EON D Lite Plus,2015,210000,40000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000.0,Hyundai
654,Renault Duster 110PS Diesel RxZ,2015,600000,60000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,248.0,5.0,2250.0,Renault
655,Honda City 2017-2020 GXi,2008,150000,70000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,1.295039590481969,5.0,2700.0,Honda
656,Tata Tigor 1.2 Revotron XT,2019,550000,15000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,114.0,5.0,3500.0,Tata
657,Maruti Swift Dzire ZDi,2011,320000,110000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,5.0,2000.0,Maruti
658,Maruti 800 AC,2000,80000,70000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,59.0,4.0,2500.0,Maruti
659,Honda Amaze VX Diesel BSIV,2019,800000,10000,Diesel,Individual,Manual,First Owner,27.4,1498.0,98.63,200.0,5.0,1750.0,Honda
660,Maruti Ertiga ZXI,2013,500000,60000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,130.0,7.0,4000.0,Maruti
661,Tata Manza Aura Quadrajet,2011,229999,110000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,200.0,5.0,3000.0,Tata
662,Hyundai i20 Asta 1.2,2015,630000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000.0,Hyundai
663,Maruti Omni E MPI STD BS IV,2016,190000,70000,Petrol,Individual,Manual,Second Owner,16.8,796.0,34.2,59.0,8.0,2500.0,Maruti
664,Mahindra Bolero VLX CRDe,2011,450000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,1500.0,Mahindra
665,Maruti Alto Std,2008,95000,120000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000.0,Maruti
666,Maruti Omni 8 Seater BSII,2009,101000,90000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,35.0,0.6220268899165362,8.0,3000.0,Maruti
667,Honda Amaze E i-Dtech,2016,500000,70000,Diesel,Individual,Manual,Second Owner,25.8,1498.0,98.6,200.0,5.0,1750.0,Honda
668,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,1019999,88000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,200.0,7.0,3400.0,Toyota
669,Hyundai EON Era Plus,2012,244000,38000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000.0,Hyundai
670,Maruti Wagon R LXI BS IV,2013,250000,90000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,90.0,5.0,3500.0,Maruti
671,Maruti Baleno Alpha 1.2,2016,660000,60000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,5.0,4000.0,Maruti
672,Hyundai i20 Magna,2010,270000,60000,Petrol,Individual,Manual,First Owner,18.5,1197.0,80.0,1.1624764827948384,5.0,4000.0,Hyundai
673,Maruti Ritz VDi,2012,280000,156060,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,190.0,5.0,2000.0,Maruti
674,Hyundai Creta 1.6 CRDi SX,2017,1050000,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9,5.0,2750.0,Hyundai
675,Maruti Swift Dzire VXI,2017,525000,70000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115.0,5.0,4000.0,Maruti
676,Hyundai Verna 1.6 CRDi S,2017,850000,35000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,259.9,5.0,2750.0,Hyundai
677,Mahindra XUV500 W10 1.99 mHawk,2016,1165000,50000,Diesel,Individual,Manual,First Owner,16.0,1997.0,140.0,320.0,7.0,2800.0,Mahindra
678,Maruti Swift ZXI,2012,345000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,85.8,114.0,5.0,4000.0,Maruti
679,Hyundai Santro Xing XS,2007,95000,100000,Petrol,Individual,Manual,Second Owner,17.8,1086.0,63.0,0.9993218887183698,5.0,3000.0,Hyundai
680,Maruti Alto 800 LXI,2015,241000,15000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,5.0,3500.0,Maruti
681,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,615000,80000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,205.0,5.0,3250.0,Ford
682,Mahindra Verito Vibe 1.5 dCi D4,2014,350000,110000,Diesel,Individual,Manual,Second Owner,20.8,1461.0,64.1,160.0,5.0,2000.0,Mahindra
683,Maruti Wagon R Stingray VXI,2014,380000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,5.0,3500.0,Maruti
684,Maruti Zen Estilo LXI BS IV,2010,220000,40000,Petrol,Individual,Manual,First Owner,19.0,998.0,67.1,90.0,5.0,3500.0,Maruti
685,Tata Indica Vista Terra 1.4 TDI,2009,125000,100000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,135.0,5.0,2500.0,Tata
686,Hyundai i10 Sportz 1.1L,2015,360000,20000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,99.04,5.0,4500.0,Hyundai
687,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,15000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,113.75,5.0,4000.0,Hyundai
688,Ford Fiesta 1.4 ZXi Duratec,2011,200000,70000,Petrol,Individual,Manual,Second Owner,16.6,1388.0,68.0,1.6621374271540232,5.0,2000.0,Ford
689,Mahindra KUV 100 mFALCON G80 K2,2016,327000,20000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,115.0,6.0,3600.0,Mahindra
690,Hyundai i10 Sportz 1.1L,2016,425000,15000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,99.04,5.0,4500.0,Hyundai
691,Maruti Swift Dzire VDI,2017,620000,107000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,5.0,2000.0,Maruti
692,Tata Indica Vista Aqua 1.3 Quadrajet BSIV,2011,130000,54000,Diesel,Individual,Manual,Second Owner,18.4,1248.0,75.0,190.0,5.0,1750.0,Tata
693,Maruti Alto LX,2009,120000,58000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000.0,Maruti
694,Hyundai EON 1.0 Kappa Magna Plus,2015,204999,43000,Petrol,Individual,Manual,Second Owner,20.3,998.0,68.05,94.14,5.0,3500.0,Hyundai
695,Maruti Swift Dzire VDI,2017,625000,43000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,5.0,2000.0,Maruti
696,Tata Indigo GLX,2011,150000,150000,Petrol,Individual,Manual,First Owner,12.8,1396.0,85.0,1.2236594555735139,5.0,3500.0,Tata
697,Maruti Omni E MPI STD BS IV,2018,220000,10000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59.0,8.0,2500.0,Maruti
698,Hyundai i20 Asta Option 1.2,2016,576000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7,5.0,4000.0,Hyundai
699,Renault KWID RXT,2016,265000,50000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386.0,Renault
700,Maruti Esteem Vxi - BSII,2005,50000,60000,Petrol,Individual,Manual,Third Owner,19.369999999999997,1248.0,81.86,150.0,5.0,3000.0,Maruti
701,Hyundai Verna 1.6 VGT CRDi,2011,300000,80000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,259.8,5.0,2750.0,Hyundai
702,Tata Tigor 1.05 Revotorq XZ,2017,420000,110000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,140.0,5.0,3000.0,Tata
703,Maruti Ertiga VDI,2015,750000,14000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,200.0,7.0,1750.0,Maruti
704,Maruti Alto 800 CNG LXI,2012,165000,60000,CNG,Individual,Manual,Second Owner,30.46,796.0,47.3,69.0,5.0,3500.0,Maruti
705,Renault KWID RXT,2017,290000,28000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386.0,Renault
706,Hyundai EON Era,2011,160000,57000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000.0,Hyundai
707,Maruti Swift Dzire ZDI,2017,695000,50000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,5.0,2000.0,Maruti
708,Maruti Wagon R Duo Lxi,2012,231000,70000,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,77.0,5.0,3500.0,Maruti
709,Toyota Corolla Altis D-4D J,2015,1050000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,205.0,5.0,2800.0,Toyota
710,Hyundai i20 Sportz 1.2,2013,400000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,113.7,5.0,4000.0,Hyundai
711,Tata Manza Aqua Quadrajet BS IV,2010,150000,120000,Diesel,Individual,Manual,Second Owner,21.12,1248.0,88.8,200.0,5.0,3000.0,Tata
712,Mahindra Xylo H4,2016,400000,140000,Diesel,Individual,Manual,Second Owner,14.02,2179.0,118.3,280.0,7.0,2800.0,Mahindra
713,Tata Indigo LS,2010,120000,100000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,70.0,1.3766168875202032,5.0,2500.0,Tata
714,Mahindra Xylo H4,2014,480000,120000,Diesel,Individual,Manual,Second Owner,14.02,2179.0,118.3,280.0,7.0,2800.0,Mahindra
715,Tata Indigo CS LX (TDI) BS-III,2013,200000,120000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,135.0,5.0,2500.0,Tata
716,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,300000,64000,Diesel,Individual,Manual,Second Owner,17.8,1399.0,67.0,160.0,5.0,2000.0,Ford
717,Maruti Celerio VXI,2015,350000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,90.0,5.0,3500.0,Maruti
718,Renault Triber RXT BSIV,2019,580000,12000,Petrol,Individual,Manual,First Owner,20.0,999.0,72.0,96.0,7.0,3500.0,Renault
719,Mahindra Scorpio Getaway,2016,750000,120000,Diesel,Individual,Manual,First Owner,11.0,2179.0,120.0,280.0,5.0,2800.0,Mahindra
720,Renault KWID RXT,2016,261000,90000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72.0,5.0,4386.0,Renault
721,Mahindra Bolero DI Non AC BSIII,2010,320000,300000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,180.0,7.0,1500.0,Mahindra
722,Tata Indigo CS LX (TDI) BS III,2012,204999,120000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,135.0,5.0,2500.0,Tata
723,Ford Fusion 1.4 TDCi Diesel,2009,150000,100000,Diesel,Individual,Manual,Fourth & Above Owner,17.7,1399.0,68.0,1.6315459407646853,5.0,2000.0,Ford
724,Mahindra Bolero 2011-2019 SLX,2016,625000,90000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,195.0,7.0,2200.0,Mahindra
725,Skoda Octavia Ambition 2.0 TDI MT,2015,900000,168000,Diesel,Individual,Manual,First Owner,20.6,1968.0,141.0,320.0,5.0,3000.0,Skoda
726,Ford Figo Diesel Titanium,2010,180000,110000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,160.0,5.0,2000.0,Ford
727,Mahindra Bolero SLX,2010,421000,120000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,1500.0,Mahindra
728,Honda WR-V i-DTEC VX,2017,900000,40000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,200.0,5.0,1750.0,Honda
729,Honda City 2017-2020 GXi,2006,165000,110000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,1.295039590481969,5.0,2700.0,Honda
730,Hyundai i20 Magna 1.4 CRDi,2010,270000,100000,Diesel,Individual,Manual,Fourth & Above Owner,21.9,1396.0,90.0,2.2841643170705592,5.0,2750.0,Hyundai
731,Maruti Vitara Brezza VDi,2017,750000,40000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,Maruti
732,Hyundai Elite i20 Petrol Asta Option,2019,750000,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,114.73,5.0,4000.0,Hyundai
733,Toyota Innova 2.5 G4 Diesel 7-seater,2009,395000,200000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,2.0802210744749736,7.0,3400.0,Toyota
734,Toyota Fortuner 3.0 Diesel,2010,800000,125000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,343.0,7.0,3400.0,Toyota
735,Hyundai i20 1.2 Sportz,2011,315000,80000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,1.1624764827948384,5.0,4000.0,Hyundai
736,Audi A4 2.0 TDI,2014,1600000,44000,Diesel,Individual,Automatic,Second Owner,16.55,1968.0,147.51,320.0,5.0,2500.0,Audi
737,Toyota Etios GD,2013,409999,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.04,170.0,5.0,2400.0,Toyota
738,Tata Zest Quadrajet 1.3 75PS XE,2017,280000,80000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,190.0,5.0,3000.0,Tata
739,Tata Indica Vista Quadrajet VX,2012,130000,60000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,190.0,5.0,3000.0,Tata
740,Hyundai EON Era Plus,2014,260000,18945,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5,5.0,4000.0,Hyundai
741,Hyundai Grand i10 1.2 CRDi Asta,2018,710000,70000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,190.24,5.0,2250.0,Hyundai
742,Maruti Eeco Smiles 7 Seater Standard,2013,204999,100000,Petrol,Individual,Manual,Third Owner,15.1,1196.0,73.0,101.0,7.0,3000.0,Maruti
743,Datsun GO Plus Anniversary Edition,2017,300000,60000,Petrol,Individual,Manual,First Owner,20.62,1198.0,67.0,104.0,7.0,4000.0,Datsun
744,Maruti Swift Dzire VDi,2009,180000,144000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,5.0,2000.0,Maruti
745,Mahindra TUV 300 T6 Plus,2016,700000,120000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,240.0,7.0,2800.0,Mahindra
746,Hyundai i20 1.4 CRDi Magna,2012,320000,107825,Diesel,Individual,Manual,Second Owner,21.9,1396.0,90.0,2.2841643170705592,5.0,2750.0,Hyundai
747,Maruti XL6 Alpha,2019,1040000,1620,Petrol,Individual,Manual,First Owner,19.01,1462.0,103.2,138.0,6.0,4400.0,Maruti
748,Hyundai i20 Active SX Diesel,2018,750000,30000,Diesel,Individual,Manual,First Owner,21.19,1396.0,88.76,219.66,5.0,2750.0,Hyundai
749,Mahindra TUV 300 Plus P4 BSIV,2018,600000,70000,Diesel,Individual,Manual,First Owner,18.49,2179.0,120.0,280.0,9.0,2800.0,Mahindra
750,Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,70000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,180.0,9.0,1500.0,Mahindra
751,Tata Tigor 1.05 Revotorq XZ Option,2017,550000,50000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,140.0,5.0,3000.0,Tata
752,Honda City i DTEC VX Option,2015,750000,160000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,200.0,5.0,1750.0,Honda
753,Hyundai Santro Magna BSIV,2019,450000,10000,Petrol,Individual,Manual,First Owner,20.3,1086.0,68.0,99.0,5.0,4500.0,Hyundai
754,Maruti Ertiga VDI,2012,400000,100000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,200.0,7.0,1750.0,Maruti
755,Maruti Swift VDI Optional,2016,520000,50000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,190.0,5.0,2000.0,Maruti
756,Maruti Alto K10 Knightracer,2013,199000,60000,Petrol,Individual,Manual,Second Owner,20.2,998.0,67.1,90.0,5.0,3500.0,Maruti
757,Maruti SX4 ZDI,2011,250000,85000,Diesel,Individual,Manual,Second Owner,21.5,1248.0,88.8,200.0,5.0,1750.0,Maruti
758,Maruti Wagon R LXI Minor,2010,200000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,84.0,5.0,3500.0,Maruti
759,Tata Indica V2 2001-2011 eLX,2011,130000,90000,Diesel,Individual,Manual,Second Owner,25.0,1396.0,69.0,140.0,5.0,3000.0,Tata
760,Maruti 800 AC,2007,90000,90000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,4.0,2500.0,Maruti
761,Hyundai Verna 1.6 SX,2012,450000,120000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,259.8,5.0,2750.0,Hyundai
762,Tata New Safari 3L Dicor LX 4x2,2007,280000,160000,Diesel,Individual,Manual,Second Owner,13.93,2956.0,138.1,320.0,7.0,2700.0,Tata
763,Maruti Zen LXI,2006,120000,141000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,78.0,5.0,4500.0,Maruti
764,Maruti Swift Ldi BSIII,2008,290000,100000,Diesel,Individual,Manual,Second Owner,17.8,1248.0,75.0,190.0,5.0,2000.0,Maruti
765,Hyundai Creta 1.4 EX Diesel,2019,1000000,15000,Diesel,Individual,Manual,First Owner,22.1,1396.0,88.7,219.7,5.0,2750.0,Hyundai
766,Maruti Swift Dzire VDI,2012,415000,108000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,5.0,2000.0,Maruti
767,Chevrolet Beat Diesel LT,2015,240000,55000,Diesel,Individual,Manual,First Owner,25.44,936.0,56.3,142.5,5.0,1750.0,Chevrolet
768,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2010,250000,37944,Diesel,Individual,Manual,First Owner,18.4,1248.0,75.0,190.0,5.0,1750.0,Tata
769,Hyundai Verna CRDi SX,2008,220000,85000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,2.4473189111470277,5.0,2750.0,Hyundai
770,Maruti Zen D,2003,85000,120000,Diesel,Individual,Manual,Third Owner,20.8,1527.0,58.0,789.0,5.0,2250.0,Maruti
771,Maruti Swift Dzire VXI 1.2,2019,675000,5000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,5.0,4200.0,Maruti
772,Renault Duster 85PS Diesel RxL,2016,535000,50000,Diesel,Individual,Manual,First Owner,19.87,1461.0,83.8,200.0,5.0,1750.0,Renault
773,Renault Triber RXZ BSIV,2019,675000,5000,Petrol,Individual,Manual,First Owner,20.0,999.0,72.0,96.0,7.0,3500.0,Renault
774,Maruti Eeco 5 Seater AC BSIV,2011,150000,80000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,101.0,5.0,3000.0,Maruti
775,Maruti Zen Estilo 1.1 LXI BSIII,2007,90000,60000,Petrol,Individual,Manual,Second Owner,18.2,1061.0,64.0,84.0,5.0,3500.0,Maruti
776,Hyundai i20 1.4 Asta Option,2017,850000,63186,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,2750.0,Hyundai
777,Mahindra Bolero SLX,2008,305000,219000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180.0,7.0,1500.0,Mahindra
778,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,910000,110000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.0,200.0,7.0,3400.0,Toyota
779,Toyota Innova 2.5 VX 8 STR,2012,1100000,151000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,2.0802210744749736,8.0,3400.0,Toyota
780,Maruti Alto LXi BSIII,2010,150000,91500,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,62.0,5.0,3000.0,Maruti
781,Maruti Swift VDI BSIV,2015,550000,23000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190.0,5.0,2000.0,Maruti
